CVEID,CWEID,VulnerabilityType,AttackPattern,Report
CVE-1999-0001,['CWE-20'],['Improper Input Validation'],"['CAPEC-10', 'CAPEC-101', 'CAPEC-104', 'CAPEC-108', 'CAPEC-109', 'CAPEC-110', 'CAPEC-120', 'CAPEC-13', 'CAPEC-135', 'CAPEC-136', 'CAPEC-14', 'CAPEC-153', 'CAPEC-182', 'CAPEC-209', 'CAPEC-22', 'CAPEC-23', 'CAPEC-230', 'CAPEC-231', 'CAPEC-24', 'CAPEC-250', 'CAPEC-261', 'CAPEC-267', 'CAPEC-28', 'CAPEC-3', 'CAPEC-31', 'CAPEC-42', 'CAPEC-43', 'CAPEC-45', 'CAPEC-46', 'CAPEC-47', 'CAPEC-473', 'CAPEC-52', 'CAPEC-53', 'CAPEC-588', 'CAPEC-63', 'CAPEC-64', 'CAPEC-664', 'CAPEC-67', 'CAPEC-7', 'CAPEC-71', 'CAPEC-72', 'CAPEC-73', 'CAPEC-78', 'CAPEC-79', 'CAPEC-8', 'CAPEC-80', 'CAPEC-81', 'CAPEC-83', 'CAPEC-85', 'CAPEC-88', 'CAPEC-9']",ip_input.c in BSD-derived TCP/IP implementations allows remote attackers to cause a denial of service (crash or hang) via crafted packets.
CVE-1999-0002,['CWE-119'],['Improper Restriction of Operations within the Bounds of a Memory Buffer'],"['CAPEC-10', 'CAPEC-100', 'CAPEC-123', 'CAPEC-14', 'CAPEC-24', 'CAPEC-42', 'CAPEC-44', 'CAPEC-45', 'CAPEC-46', 'CAPEC-47', 'CAPEC-8', 'CAPEC-9']","Buffer overflow in NFS mountd gives root access to remote attackers, mostly in Linux systems."
CVE-1999-0003,['NVD-CWE-Other'],[''],[],Execute commands as root via buffer overflow in Tooltalk database server (rpc.ttdbserverd).
CVE-1999-0004,['NVD-CWE-Other'],[''],[],"MIME buffer overflow in email clients, e.g. Solaris mailtool and Outlook."
CVE-1999-0005,['NVD-CWE-Other'],[''],[],Arbitrary command execution via IMAP buffer overflow in authenticate command.
CVE-1999-0006,['NVD-CWE-Other'],[''],[],Buffer overflow in POP servers based on BSD/Qualcomm's qpopper allows remote attackers to gain root access using a long PASS command.
CVE-1999-0007,['CWE-327'],['Use of a Broken or Risky Cryptographic Algorithm'],"['CAPEC-20', 'CAPEC-459', 'CAPEC-473', 'CAPEC-475', 'CAPEC-608', 'CAPEC-614', 'CAPEC-97']",Information from SSL-encrypted sessions via PKCS #1.
CVE-1999-0008,['NVD-CWE-Other'],[''],[],"Buffer overflow in NIS+, in Sun's rpc.nisd program."
CVE-1999-0009,['NVD-CWE-Other'],[''],[],Inverse query buffer overflow in BIND 4.9 and BIND 8 Releases.
CVE-1999-0010,['NVD-CWE-Other'],[''],[],Denial of Service vulnerability in BIND 8 Releases via maliciously formatted DNS messages.
CVE-1999-0011,['NVD-CWE-Other'],[''],[],Denial of Service vulnerabilities in BIND 4.9 and BIND 8 Releases via CNAME record and zone transfer.
CVE-1999-0012,['NVD-CWE-Other'],[''],[],Some web servers under Microsoft Windows allow remote attackers to bypass access restrictions for files with long file names.
CVE-1999-0013,['NVD-CWE-Other'],[''],[],"Stolen credentials from SSH clients via ssh-agent program, allowing other local users to access remote accounts belonging to the ssh-agent user."
CVE-1999-0014,['NVD-CWE-Other'],[''],[],Unauthorized privileged access or denial of service via dtappgather program in CDE.
CVE-1999-0015,['NVD-CWE-Other'],[''],[],Teardrop IP denial of service.
CVE-1999-0016,['NVD-CWE-Other'],[''],[],Land IP denial of service.
CVE-1999-0017,['NVD-CWE-Other'],[''],[],"FTP servers can allow an attacker to connect to arbitrary ports on machines other than the FTP client, aka FTP bounce."
CVE-1999-0018,['NVD-CWE-Other'],[''],[],Buffer overflow in statd allows root privileges.
CVE-1999-0019,['NVD-CWE-Other'],[''],[],"Delete or create a file via rpc.statd, due to invalid information."
CVE-1999-0020,[],[],[],** REJECT **  DO NOT USE THIS CANDIDATE NUMBER.  ConsultIDs: CVE-1999-0032.  Reason: This candidate is a duplicate of CVE-1999-0032.  Notes: All CVE users should reference CVE-1999-0032 instead of this candidate.  All references and descriptions in this candidate have been removed to prevent accidental usage.
CVE-1999-0021,['NVD-CWE-Other'],[''],[],Arbitrary command execution via buffer overflow in Count.cgi (wwwcount) cgi-bin program.
CVE-1999-0022,['NVD-CWE-Other'],[''],[],"Local user gains root privileges via buffer overflow in rdist, via expstr() function."
CVE-1999-0023,['NVD-CWE-Other'],[''],[],"Local user gains root privileges via buffer overflow in rdist, via lookup() function."
CVE-1999-0024,['NVD-CWE-Other'],[''],[],"DNS cache poisoning via BIND, by predictable query IDs."
CVE-1999-0025,['NVD-CWE-Other'],[''],[],root privileges via buffer overflow in df command on SGI IRIX systems.
CVE-1999-0026,['NVD-CWE-Other'],[''],[],root privileges via buffer overflow in pset command on SGI IRIX systems.
CVE-1999-0027,['CWE-119'],['Improper Restriction of Operations within the Bounds of a Memory Buffer'],"['CAPEC-10', 'CAPEC-100', 'CAPEC-123', 'CAPEC-14', 'CAPEC-24', 'CAPEC-42', 'CAPEC-44', 'CAPEC-45', 'CAPEC-46', 'CAPEC-47', 'CAPEC-8', 'CAPEC-9']",root privileges via buffer overflow in eject command on SGI IRIX systems.
CVE-1999-0028,['NVD-CWE-Other'],[''],[],root privileges via buffer overflow in login/scheme command on SGI IRIX systems.
CVE-1999-0029,['NVD-CWE-Other'],[''],[],root privileges via buffer overflow in ordist command on SGI IRIX systems.
CVE-1999-0030,['NVD-CWE-Other'],[''],[],root privileges via buffer overflow in xlock command on SGI IRIX systems.
CVE-1999-0031,['NVD-CWE-Other'],[''],[],"JavaScript in Internet Explorer 3.x and 4.x, and Netscape 2.x, 3.x and 4.x, allows remote attackers to monitor a user's web activities, aka the Bell Labs vulnerability."
CVE-1999-0032,['NVD-CWE-Other'],[''],[],"Buffer overflow in lpr, as used in BSD-based systems including Linux, allows local users to execute arbitrary code as root via a long -C (classification) command line option."
CVE-1999-0033,['NVD-CWE-Other'],[''],[],Command execution in Sun systems via buffer overflow in the at program.
CVE-1999-0034,['NVD-CWE-Other'],[''],[],"Buffer overflow in suidperl (sperl), Perl 4.x and 5.x."
CVE-1999-0035,['NVD-CWE-Other'],[''],[],"Race condition in signal handling routine in ftpd, allowing read/write arbitrary files."
CVE-1999-0036,['NVD-CWE-Other'],[''],[],IRIX login program with a nonzero LOCKOUT parameter allows creation or damage to files.
CVE-1999-0037,['NVD-CWE-Other'],[''],[],"Arbitrary command execution via metamail package using message headers, when user processes attacker's message using metamail."
CVE-1999-0038,['NVD-CWE-Other'],[''],[],Buffer overflow in xlock program allows local users to execute commands as root.
CVE-1999-0039,['NVD-CWE-Other'],[''],[],webdist CGI program (webdist.cgi) in SGI IRIX allows remote attackers to execute arbitrary commands via shell metacharacters in the distloc parameter.
CVE-1999-0040,['NVD-CWE-Other'],[''],[],Buffer overflow in Xt library of X Windowing System allows local users to execute commands with root privileges.
CVE-1999-0041,['NVD-CWE-Other'],[''],[],Buffer overflow in NLS (Natural Language Service).
CVE-1999-0042,['NVD-CWE-Other'],[''],[],Buffer overflow in University of Washington's implementation of IMAP and POP servers.
CVE-1999-0043,['NVD-CWE-Other'],[''],[],"Command execution via shell metachars in INN daemon (innd) 1.5 using ""newgroup"" and ""rmgroup"" control messages, and others."
CVE-1999-0044,['NVD-CWE-Other'],[''],[],fsdump command in IRIX allows local users to obtain root access by modifying sensitive files.
CVE-1999-0045,['NVD-CWE-Other'],[''],[],List of arbitrary files on Web host via nph-test-cgi script.
CVE-1999-0046,['NVD-CWE-Other'],[''],[],Buffer overflow of rlogin program using TERM environmental variable.
CVE-1999-0047,['NVD-CWE-Other'],[''],[],MIME conversion buffer overflow in sendmail versions 8.8.3 and 8.8.4.
CVE-1999-0048,['NVD-CWE-Other'],[''],[],"Talkd, when given corrupt DNS information, can be used to execute arbitrary commands with root privileges."
CVE-1999-0049,['NVD-CWE-Other'],[''],[],Csetup under IRIX allows arbitrary file creation or overwriting.
CVE-1999-0050,['NVD-CWE-Other'],[''],[],Buffer overflow in HP-UX newgrp program.
CVE-1999-0051,['NVD-CWE-Other'],[''],[],"Arbitrary file creation and program execution using FLEXlm LicenseManager, from versions 4.0 to 5.0, in IRIX."
CVE-1999-0052,['NVD-CWE-Other'],[''],[],IP fragmentation denial of service in FreeBSD allows a remote attacker to cause a crash.
CVE-1999-0053,['NVD-CWE-Other'],[''],[],TCP RST denial of service in FreeBSD.
CVE-1999-0054,['NVD-CWE-Other'],[''],[],Sun's ftpd daemon can be subjected to a denial of service.
CVE-1999-0055,['NVD-CWE-Other'],[''],[],Buffer overflows in Sun libnsl allow root access.
CVE-1999-0056,['NVD-CWE-Other'],[''],[],Buffer overflow in Sun's ping program can give root access to local users.
CVE-1999-0057,['NVD-CWE-Other'],[''],[],Vacation program allows command execution by remote users through a sendmail command.
CVE-1999-0058,['NVD-CWE-Other'],[''],[],"Buffer overflow in PHP cgi program, php.cgi allows shell access."
CVE-1999-0059,['NVD-CWE-Other'],[''],[],IRIX fam service allows an attacker to obtain a list of all files on the server.
CVE-1999-0060,['NVD-CWE-Other'],[''],[],"Attackers can cause a denial of service in Ascend MAX and Pipeline routers with a malformed packet to the discard port, which is used by the Java Configurator tool."
CVE-1999-0061,['NVD-CWE-Other'],[''],[],"File creation and deletion, and remote execution, in the BSD line printer daemon (lpd)."
